iter	Passed	Remaining
585	48768	17809
586	48841	17722
587	48932	17642
588	49032	17564
589	49113	17481
590	49190	17395
591	49277	17313
592	49367	17233
593	49451	17149
594	49541	17069
595	49610	16980
596	49694	16897
597	49797	16821
598	49878	16737
599	49962	16654
600	50038	16568
601	50131	16488
602	50222	16407
603	50289	16318
604	50363	16232
605	50436	16146
606	50540	16069
607	50609	15981
608	50680	15894
609	50764	15812
610	50839	15726
611	50903	15636
612	50987	15554
613	51062	15468
614	51124	15378
615	51195	15292
616	51266	15205
617	51357	15124
618	51454	15045
619	51542	14964
620	51620	14879
621	51711	14798
622	51799	14716
623	51885	14634
624	51949	14545
625	52018	14458
626	52086	14371
627	52159	14285
628	52231	14199
629	52294	14111
630	52373	14027
631	52442	13940
632	52517	13855
633	52583	13767
634	52668	13685
635	52735	13598
636	52810	13513
637	52901	13432
638	52973	13346
639	53048	13262
640	53111	13174
641	53185	13089
642	53252	13002
643	53349	12923
644	53445	12843
645	53510	12756
646	53572	12668
647	53645	12583
648	53720	12498
649	53788	12412
650	53875	12331
651	53962	12249
652	54058	12169
653	54152	12089
654	54246	12008
655	54345	11929
656	54421	11845
657	54530	11767
658	54611	11684
659	54728	11609
660	54822	11528
661	54881	11440
662	54960	11356
663	55078	11281
664	55175	11201
665	55250	11116
666	55319	11030
667	55397	10946
668	55476	10863
669	55559	10780
670	55637	10696
671	55718	10613
672	55794	10528
673	55863	10443
674	55946	10360
675	56047	10280
676	56142	10200
677	56236	10119
678	56339	10039
679	56432	9958
680	56500	9873
681	56566	9787
682	56659	9705
683	56751	9624
684	56824	9539
685	56903	9456
686	56998	9375
687	57071	9290
688	57147	9206
689	57237	9124
690	57337	9044
691	57443	8965
692	57542	8884
693	57663	8807
694	57755	8725
695	57855	8645
696	57959	8565
697	58058	8484
698	58176	8406
699	58270	8324
700	58380	8244
701	58484	8164
702	58570	8081
703	58658	7998
704	58746	7916
705	58832	7833
706	58910	7749
707	58996	7666
708	59075	7582
709	59171	7500
710	59262	7418
711	59347	7335
712	59453	7254
713	59530	7170
714	59608	7086
715	59700	7003
716	59795	6921
717	59870	6837
718	59945	6753
719	60032	6670
720	60114	6586
721	60181	6501
722	60251	6416
723	60323	6332
724	60408	6249
725	60513	6168
726	60614	6086
727	60704	6003
728	60779	5919
729	60859	5835
730	60945	5752
731	61069	5673
732	61194	5593
733	61268	5509
734	61335	5424
735	61404	5339
736	61495	5256
737	61580	5173
738	61676	5090
739	61773	5008
740	61857	4925
741	61945	4842
742	62047	4760
743	62147	4677
744	62292	4598
745	62391	4516
746	62474	4432
747	62553	4348
748	62638	4265
749	62722	4181
750	62788	4096
751	62860	4012
752	62957	3929
753	63050	3846
754	63138	3763
755	63217	3679
756	63309	3596
757	63387	3512
758	63471	3428
759	63562	3345
760	63648	3261
761	63740	3178
762	63832	3095
763	63925	3012
764	64026	2929
765	64110	2845
766	64198	2762
767	64284	2678
768	64371	2594
769	64464	2511
770	64559	2428
771	64650	2344
772	64737	2261
773	64825	2177
774	64916	2094
775	65018	2010
776	65105	1927
777	65197	1843
778	65277	1759
779	65357	1675
780	65453	1592
781	65536	1508
782	65619	1424
783	65693	1340
784	65775	1256
785	65865	1173
786	65939	1089
787	66027	1005
788	66135	922
789	66318	839
790	66481	756
791	66582	672
792	66692	588
793	66805	504
794	66878	420
795	66950	336
796	67028	252
797	67123	168
798	67223	84
799	67332	0
